dc_id,bus,C_kW,pdc_kW,qdc_kVar
0,24,2000.0,1399.9999956395714,284.282124002183
1,30,2000.0,4.360536517653979e-06,8.854447049204816e-07
-1,-1,4000.0,1400.0000000001078,284.28212488762773
